date,drive_id,tbw,erase_count
2025-08-01,DRV00001,13430660,8064
2025-08-01,DRV00002,1332394,7993
2025-08-01,DRV00003,13782211,8266
2025-08-01,DRV00004,13268419,7956
2025-08-01,DRV00005,1342947,8057
2025-08-01,DRV00006,13818316,8294
2025-08-01,DRV00007,1319520,7918
2025-08-01,DRV00008,1403351830,8417
2025-08-01,DRV00009,1332865,7996
2025-08-01,DRV00010,14104289,8451
2025-08-01,DRV00011,1316699,7903
2025-08-01,DRV00012,13619500,8167
2025-08-01,DRV00013,1296970,7782
2025-08-01,DRV00014,1350284,8102
2025-08-01,DRV00015,1345927,8074
2025-08-01,DRV00016,1397591590,8388
2025-08-01,DRV00017,1366768890,8205
2025-08-01,DRV00018,13892171,8334
2025-08-01,DRV00019,1426144230,8552
2025-08-01,DRV00020,13984764,8372
2025-08-01,DRV00021,1308834,7857
2025-08-01,DRV00022,1320123,7922
2025-08-01,DRV00023,1403548230,8427
2025-08-01,DRV00024,1411651940,8462
2025-08-01,DRV00025,13867466,8326
2025-08-01,DRV00026,1387805640,8327
2025-08-01,DRV00027,1351084550,8106
2025-08-01,DRV00028,1363374,8173
2025-08-01,DRV00029,1305452,7831
2025-08-01,DRV00030,1403332180,8416
2025-08-01,DRV00031,14113506,8465
2025-08-01,DRV00032,1461941610,8774
2025-08-01,DRV00033,1299415,7797
2025-08-01,DRV00034,13535684,8128
2025-08-01,DRV00035,1326863,7965
2025-08-01,DRV00036,1287120,7733
2025-08-01,DRV00037,1295844,7779
2025-08-01,DRV00038,1396992250,8384
2025-08-01,DRV00039,1361887,8170
2025-08-01,DRV00040,1376035290,8250
2025-08-01,DRV00041,1327994,7968
2025-08-01,DRV00042,1370232,8220
2025-08-01,DRV00043,12978705,7783
2025-08-01,DRV00044,1343387,8061
2025-08-01,DRV00045,1306993,7844
2025-08-01,DRV00046,13534041,8128
2025-08-01,DRV00047,1364958220,8186
2025-08-01,DRV00048,1383380,8302
2025-08-01,DRV00049,1278037,7673
2025-08-01,DRV00050,1337714,8027
2025-08-01,DRV00051,1277851,7671
2025-08-01,DRV00052,1284823,7710
2025-08-01,DRV00053,1316192,7901
2025-08-01,DRV00054,1336789,8015
2025-08-01,DRV00055,1390549,8344
2025-08-01,DRV00056,13236629,7945
2025-08-01,DRV00057,14293905,8566
2025-08-01,DRV00058,1331430460,7976
2025-08-01,DRV00059,1305241,7832
2025-08-01,DRV00060,1338402,8023
2025-08-01,DRV00061,13670404,8204
2025-08-01,DRV00062,1356441,8130
2025-08-01,DRV00063,1378975,8271
2025-08-01,DRV00064,13468212,8078
2025-08-01,DRV00065,1338236,8021
2025-08-01,DRV00066,1370825,8219
2025-08-01,DRV00067,1320841410,7922
2025-08-01,DRV00068,1482897580,8894
2025-08-01,DRV00069,1323943380,7942
2025-08-01,DRV00070,14050655,8432
2025-08-01,DRV00071,14097133,8464
2025-08-01,DRV00072,1298927,7793
2025-08-01,DRV00073,1340358620,8044
2025-08-01,DRV00074,1376886000,8264
2025-08-01,DRV00075,1365350,8193
2025-08-01,DRV00076,14605028,8766
2025-08-01,DRV00077,1384146550,8314
2025-08-01,DRV00078,1404604380,8431
2025-08-01,DRV00079,13474460,8082
